Index_Fund,vfiax,vexax,vgslx,vdipx,vemax,vgpmx,vbtlx,vaipx,vusxx,cash
vfiax,1,0.909341377,0.728399252,0.842104129,0.724434812,0.527444011,-0.063475198,-0.009241189,0,0.01
vexax,0.909341377,1,0.729426871,0.80662121,0.702405421,0.524076349,-0.024665253,0.02635934,0,0.01
vgslx,0.728399252,0.729426871,1,0.658743484,0.514949438,0.455120151,0.154177767,0.137766217,0,0.01
vdipx,0.842104129,0.80662121,0.658743484,1,0.817208657,0.613085831,0.001419083,0.056507678,0,0.01
vemax,0.724434812,0.702405421,0.514949438,0.817208657,1,0.555474292,-0.041647554,0.01429783,0,0.01
vgpmx,0.527444011,0.524076349,0.455120151,0.613085831,0.555474292,1,0.09755212,0.162004916,0,0.01
vbtlx,-0.063475198,-0.024665253,0.154177767,0.001419083,-0.041647554,0.09755212,1,0.744716081,0,0.01
vaipx,-0.009241189,0.02635934,0.137766217,0.056507678,0.01429783,0.162004916,0.744716081,1,0,0.01
vusxx,0,0,0,0,0,0,0,0,1,0.01
cash,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1
