asset,top_mean,bottom_mean,top_minus_bottom
vv,0.2598652849387992,0.04388936399569166,0.21597592094310752
vo,0.10976595683569963,0.057578986060294525,0.05218697077540511
vtv,0.11567326454777428,0.06642310939616611,0.049250155151608174
vti,0.11563379041689252,0.06789666919723915,0.04773712121965337
vb,0.09148894603445075,0.053483964827562805,0.038004981206887944
voo,0.10030535116654403,0.07461893667183687,0.025686414494707155
vwo,0.05478929810119935,0.09749195019477615,-0.0427026520935768
biv,0.05424098945275998,0.1591319157717705,-0.10489092631901051
bsv,0.054173345296072394,0.1669482464567484,-0.11277490116067601
blv,0.044063773209807915,0.21253685742791378,-0.16847308421810586
